event_id,ticker,company_name,created_at,author_handle,text_raw,query_used,post_uri,has_cashtag,has_plain_ticker,has_company,has_earnings_term,match_score,relevance_label
AMD_Q4_2023_2024-01-31,AMD,ADVANCED MICRO DEVICES,2026-04-12T16:31:32.715279+00:00,financeradar.bsky.social,"I'll be keeping a close eye on tech stocks like AMD and NVDA, whose high-growth narratives might get disrupted by guidance. Their Q1 earnings will be a crucial indicator of the rebound's sustainability.",AMD earnings,at://did:plc:qpe2wiibcb3uxc45ob5y5fdr/app.bsky.feed.post/3mjcrn4fgbm2m,False,True,False,True,2,high
AMD_Q4_2023_2024-01-31,AMD,ADVANCED MICRO DEVICES,2026-04-12T07:58:29Z,fazencapital.bsky.social,"Intel Revenue Lags AMD as Market Share Shifts: AMD revenue rose 22% YoY to $7.6B while Intel fell 6% to $12.1B in Q1 2026 (Yahoo Finance, Apr 10, 2026). Market-share moves in x86 servers could reshape 2026 earnings. 👈 Read full analysis #Intel #AMD #TechNews #MarketShare #EarningsReport",AMD earnings,at://did:plc:xka4juannwsptr5z3eekxidr/app.bsky.feed.post/3mjbuxp7hjo2w,False,True,False,True,2,high
AMD_Q4_2023_2024-01-31,AMD,ADVANCED MICRO DEVICES,2026-04-08T22:00:17.756Z,startuphub.bsky.social,"AMD sets May 5, 2026, for its Q1 2026 earnings release. CFO Jean Hu to present at Bank of America Global Technology Conference on June 2.",AMD earnings,at://did:plc:tcbapawcxgmp2idtbyj4xd2g/app.bsky.feed.post/3mizc5bwnkt2u,False,True,False,True,2,high
AMD_Q4_2023_2024-01-31,AMD,ADVANCED MICRO DEVICES,2026-03-26T02:56:42.617623Z,epsteinweb.bsky.social,"Parts 1-2/2 — EFTA02141875.jpg
#epsteinweb #efta02141875
https://epsteinweb.org
Available in the iOS app store now!
https://apps.apple.com/us/app/epstein-web/id6758880661",AMD earnings,at://did:plc:ndjyym3ihrqu3g25gdztefrv/app.bsky.feed.post/3mhwm6gj2k62n,False,False,False,True,1,medium
AMD_Q4_2023_2024-01-31,AMD,ADVANCED MICRO DEVICES,2026-03-25T13:31:42.146Z,firmlix.bsky.social,"🟢 Advanced Micro Devices (AMD) +4.01% today

AI Chip Strength and Earnings Optimism Propel AMD Higher

Find out why: https://firmlix.com/stocks/advanced-micro-devices-amd/2026-03-25",AMD earnings,at://did:plc:2cns54fgfnftxduhw74ni5kw/app.bsky.feed.post/3mhv76xk6m22x,False,True,True,True,3,high
AMD_Q4_2023_2024-01-31,AMD,ADVANCED MICRO DEVICES,2026-03-16T19:00:02.925306Z,fundspec.bsky.social,"BEARISH $AMD
Advanced Micro Devices Option Alert: Fri $50 Calls at the Bid: 95 vs 4758 OI; Earnings 5/5 After Close [est] 
https://optionssentimentscreener.com/AMD
Monitor Unusual Options Activity for free on the Options Sentiment Screener App on the AppStore or PlayStore
",AMD earnings,at://did:plc:5i7m7wpf7lstzfau43thfeff/app.bsky.feed.post/3mh75dshlsb2z,True,True,True,True,4,high
AMD_Q4_2023_2024-01-31,AMD,ADVANCED MICRO DEVICES,2026-03-16T10:48:59.000Z,xpu.news,"00:00 Introduction and Contextual Awareness
01:01 Nvidia-Meta (Grace)
03:57 AMD-Meta
06:04 Amazon and OpenAI Collaboration
07:28 Nvidia-OpenAI
09:40 Nvidia-Groq
11:32 AI-Chip Startup Funding
11:46 MatX
14:52 Taalas
16:54 HyperAccel
18:24 SambaNova
22:07 Ayar Labs
25:40 Nvidia Earnings
29:20 Broadco…",AMD earnings,at://did:plc:s7vo3jj5c7fv4lkjk57yejf6/app.bsky.feed.post/3mh6bvrwrg323,False,True,False,True,2,high
AMD_Q4_2023_2024-01-31,AMD,ADVANCED MICRO DEVICES,2026-03-14T16:13:27.785Z,andrewradev.bsky.social,"This isn't due to the US-Iran war, either. On Feb 24th, AMD announced a deal with Meta and their stock went up by ~10%. Those gains evaporated within days. Meta got a comparable bump after their earnings, and, again, it was gone days later.",AMD earnings,at://did:plc:vzu6jo7haundhubra3nxmhgh/app.bsky.feed.post/3mgzt43augs2h,False,True,False,True,2,high
AMD_Q4_2023_2024-01-31,AMD,ADVANCED MICRO DEVICES,2026-03-13T20:00:02.809670Z,fundspec.bsky.social,"BULLISH $AMD
Advanced Micro Devices Option Alert: Jul 17 $180 Calls Sweep (8) near the Ask: 163 vs 240 OI; Earnings 5/5 After Close [est] 
https://optionssentimentscreener.com/AMD
Monitor Unusual Options Activity for free on the Options Sentiment Screener App on the AppStore or PlayStore
",AMD earnings,at://did:plc:5i7m7wpf7lstzfau43thfeff/app.bsky.feed.post/3mgxpcd73ne2m,True,True,True,True,4,high
AMD_Q4_2023_2024-01-31,AMD,ADVANCED MICRO DEVICES,2026-03-11T05:58:28Z,stockupdatesnow.bsky.social,"AI chipmaker Cerebras namedropped by Oracle, alongside Nvidia and AMD

As AI chipmaker Cerebras angles for an eventual IPO, the company appears to have landed a significant cloud-computing customer: Oracle. On a conference call with analysts on Tuesday following Oracle's quarterly earnings, Clay…",AMD earnings,at://did:plc:7x6xshhjou4ijit5qjvyput3/app.bsky.feed.post/3mgr7do57zf2r,False,True,False,True,2,high
